"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:33:53.171","22.58887","113.972716","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:53.183","22.58887","113.972716","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:53.398","22.588751","113.972687","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:54.051","22.588751","113.972687","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:55.162","22.588751","113.972687","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:55.394","22.588671","113.972651","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:56.291","22.588671","113.972651","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:57.418","22.588671","113.972651","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:57.468","22.588544","113.972626","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:58.524","22.588544","113.972626","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:58.966","22.588544","113.972626","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:59.171","22.588544","113.972626","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-103","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:59.183","22.588544","113.972626","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:59.394","22.588574","113.972647","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:59.645","22.588574","113.972647","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:00.770","22.588574","113.972647","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:01.425","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:01.900","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:03.056","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:03.410","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:03.499","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:04.176","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:34:05.284","22.588589","113.97265","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-102","-9","7.0","","","","","","","","","","","","","","","",""
